Model,MAE ($),MSE,RMSE ($),R² Score,Training Time (s)
RNN,30.91563606262207,1104.098388671875,33.227975994211185,0.6724506616592407,427.13779520988464
LSTM,210.97314453125,47293.1796875,217.46995122889967,-13.030315399169922,761.9380915164948
GRU,15.028070449829102,469.15179443359375,21.659912152028543,0.8608182668685913,1753.2640783786774
